id,country,year,ehc,sur,fh,edu,lea
1,Afghanistan,1990,1,30,41,2,61
1,Afghanistan,2016,4,34,45,7,64
2,Albania,1990,11,41,63,10,76
2,Albania,2016,14,43,69,11,78
3,Algeria,1990,8,40,61,10,63
3,Algeria,2016,14,42,70,12,68
4,American Samoa,1990,13,41,66,12,73
4,American Samoa,2016,16,41,70,13,76
5,Andorra,1990,21,43,88,12,85
5,Andorra,2016,24,44,89,13,86
6,Angola,1990,2,29,39,6,62
6,Angola,2016,7,37,50,10,66
7,Antigua and Barbuda,1990,10,42,74,9,70
7,Antigua and Barbuda,2016,14,42,76,11,70
8,Argentina,1990,12,41,76,10,71
8,Argentina,2016,16,42,81,12,72
9,Armenia,1990,15,40,71,13,76
9,Armenia,2016,17,42,72,13,78
10,Australia,1990,20,43,84,11,88
10,Australia,2016,23,44,87,13,87
11,Austria,1990,20,42,86,11,87
11,Austria,2016,24,44,88,13,87
12,Azerbaijan,1990,11,38,63,11,75
12,Azerbaijan,2016,14,41,69,11,76
13,Bahrain,1990,9,41,67,8,69
13,Bahrain,2016,14,43,77,11,74
14,Bangladesh,1990,2,34,40,5,65
14,Bangladesh,2016,6,41,48,8,69
15,Barbados,1990,15,42,75,12,72
15,Barbados,2016,18,42,76,14,74
16,Belarus,1990,18,40,79,12,81
16,Belarus,2016,23,42,82,15,84
17,Belgium,1990,22,42,87,12,87
17,Belgium,2016,25,44,88,13,88
18,Belize,1990,7,40,69,8,63
18,Belize,2016,11,41,73,10,65
19,Benin,1990,1,32,35,4,55
19,Benin,2016,4,37,48,8,58
20,Bermuda,1990,11,41,77,9,70
20,Bermuda,2016,12,43,79,9,68
21,Bhutan,1990,4,34,49,7,67
21,Bhutan,2016,9,41,54,11,70
22,Bolivia,1990,7,35,62,9,64
22,Bolivia,2016,12,41,68,12,67
23,Bosnia and Herzegovina,1990,14,42,70,11,80
23,Bosnia and Herzegovina,2016,17,43,73,12,81
24,Botswana,1990,6,37,55,9,60
24,Botswana,2016,8,37,50,12,65
25,Brazil,1990,9,39,70,9,69
25,Brazil,2016,16,41,78,12,73
26,Brunei,1990,18,42,76,12,87
26,Brunei,2016,23,43,81,13,92
27,Bulgaria,1990,17,41,75,12,83
27,Bulgaria,2016,20,42,77,13,83
28,Burkina Faso,1990,1,29,27,2,69
28,Burkina Faso,2016,3,35,43,5,65
29,Burundi,1990,2,28,40,5,68
29,Burundi,2016,4,35,47,6,75
30,Cambodia,1990,3,34,42,6,67
30,Cambodia,2016,7,40,50,9,71
31,Cameroon,1990,4,34,43,6,78
31,Cameroon,2016,7,35,50,11,71
32,Canada,1990,23,43,89,13,87
32,Canada,2016,25,44,88,13,89
33,Cape Verde,1990,4,39,58,5,65
33,Cape Verde,2016,9,41,68,9,67
34,Central African Republic,1990,2,28,36,5,62
34,Central African Republic,2016,4,29,37,10,66
35,Chad,1990,1,31,34,2,59
35,Chad,2016,2,34,40,6,59
36,Chile,1990,15,41,82,11,72
36,Chile,2016,19,43,88,11,78
37,China,1990,11,39,61,10,85
37,China,2016,20,43,72,13,89
38,Colombia,1990,9,40,71,9,66
