year,province,prc,dmu,Y,P,L,K,H,oe,pe,se
1990,Aceh,AC,1,43254,3381,1417,13530,5.971,1,1,1
1990,North Sumatra,SU,2,42596,10020,4227,61096,6.499,0.624,0.664,0.94
1990,Riau,RI,3,67161,3467,1068,118556,6.364,1,1,1
1990,West Sumatra,SB,4,14809,3846,1564,16056,6.161,0.325,0.334,0.974
1990,Jambi,JA,5,5698,2000,843,12863,5.61,0.191,0.238,0.805
1990,Bengkulu,BE,6,3176,1167,548,5886,5.458,0.184,0.849,0.217
1990,South Sumatra,SS,7,34442,6295,2509,60732,5.771,0.582,0.604,0.964
1990,Lampung,LA,8,14300,5840,3039,11546,5.133,0.387,0.494,0.784
1990,West Java,JB,9,145321,35564,13152,245463,5.425,1,1,1
1990,Jakarta,JK,10,153951,7818,3169,450346,9.002,1,1,1
1990,Central Java,JT,11,78765,27668,13736,146432,4.981,0.8,0.816,0.98
1990,Yogyakarta,YO,12,9277,2817,1536,16202,5.466,0.224,0.254,0.883
1990,East Java,JI,13,134055,31347,15767,227333,4.703,1,1,1
1990,Bali,BA,14,10284,2726,1535,16540,5.055,0.264,0.342,0.772
1990,West Kalimantan,KB,15,11137,3193,1398,19133,4.294,0.318,0.608,0.522
1990,Central Kalimantan,KT,16,7022,1419,603,9959,5.944,0.32,0.54,0.593
1990,East Kalimantan,KI,17,48800,1908,754,37871,6.104,1,1,1
1990,South Kalimantan,KS,18,9794,2553,1148,9798,5.399,0.313,0.322,0.97
1990,North Sulawesi,SA,19,6423,2439,1072,7206,6.629,0.279,0.294,0.949
1990,Central Sulawesi,ST,20,4107,1709,750,6872,5.489,0.187,0.286,0.653
1990,South Sulawesi,SN,21,16017,6829,2619,17776,5.121,0.401,0.501,0.8
1990,Southeast Sulawesi,SG,22,3524,1380,547,3029,5.025,0.364,1,0.364
1990,West Nusa Tenggara,NB,23,5752,3307,1447,12306,4.058,0.187,1,0.187
1990,East Nusa Tenggara,NT,24,4560,3269,1658,6792,4.668,0.21,0.239,0.878
1990,Maluku,MA,25,5917,1783,636,9244,6.209,0.268,0.445,0.602
1990,Papua,PA,26,8584,1667,701,3282,4.122,0.818,1,0.818
1991,Aceh,AC,1,45149,3441,1346,14516,6.517,1,1,1
1991,North Sumatra,SU,2,45621,10197,4182,65082,6.734,0.65,0.672,0.968
1991,Riau,RI,3,69603,3528,1252,125745,6.597,0.989,1,0.989
1991,West Sumatra,SB,4,15702,3914,1631,16767,6.175,0.355,0.387,0.918
1991,Jambi,JA,5,5864,2035,808,13423,5.909,0.19,0.251,0.758
1991,Bengkulu,BE,6,3398,1188,558,6589,6,0.177,1,0.177
1991,South Sumatra,SS,7,34450,6407,2626,61667,6.476,0.545,0.55,0.991
1991,Lampung,LA,8,14753,5944,2641,12976,5.388,0.39,0.598,0.653
1991,West Java,JB,9,155866,36195,13790,260306,5.746,1,1,1
1991,Jakarta,JK,10,165333,7957,3007,487125,9.232,1,1,1
1991,Central Java,JT,11,84725,28159,13823,155830,5.09,0.822,0.885,0.93
1991,Yogyakarta,YO,12,9755,2867,1571,17338,5.476,0.242,0.337,0.717
1991,East Java,JI,13,144191,31903,15903,250278,4.997,1,1,1
1991,Bali,BA,14,11046,2774,1536,17660,5.412,0.275,0.399,0.691
1991,West Kalimantan,KB,15,12062,3250,1395,19982,4.82,0.322,0.698,0.461
1991,Central Kalimantan,KT,16,7424,1444,649,11092,6.164,0.297,0.503,0.59
1991,East Kalimantan,KI,17,52356,1942,775,41942,6.709,1,1,1
1991,South Kalimantan,KS,18,10389,2599,1203,10259,5.737,0.326,0.378,0.861
1991,North Sulawesi,SA,19,7001,2483,1052,7720,6.958,0.292,0.301,0.97
1991,Central Sulawesi,ST,20,4484,1739,718,7419,5.905,0.194,0.332,0.585
1991,South Sulawesi,SN,21,17451,6950,2580,19752,5.309,0.431,0.635,0.679
1991,Southeast Sulawesi,SG,22,3992,1405,580,3465,5.094,0.37,1,0.37
1991,West Nusa Tenggara,NB,23,6154,3366,1483,13399,4.247,0.197,1,0.197
1991,East Nusa Tenggara,NT,24,4850,3327,1601,7408,4.863,0.21,0.495,0.425
1991,Maluku,MA,25,6416,1814,670,9869,6.405,0.261,0.45,0.581
1991,Papua,PA,26,10132,1696,735,3630,5.133,0.897,1,0.897
1992,Aceh,AC,1,43420,3501,1427,15497,6.281,1,1,1
1992,North Sumatra,SU,2,49188,10375,4477,70212,6.862,0.671,0.71,0.944
1992,Riau,RI,3,76561,3590,1341,134066,6.541,0.977,1,0.977
1992,West Sumatra,SB,4,16777,3982,1683,17595,6.454,0.369,0.378,0.978
1992,Jambi,JA,5,6328,2071,867,14030,5.883,0.21,0.252,0.832
1992,Bengkulu,BE,6,3632,1209,584,7323,5.77,0.196,0.744,0.263
1992,South Sumatra,SS,7,35847,6518,2851,66705,5.834,0.555,0.597,0.93
1992,Lampung,LA,8,16468,6047,2804,14774,5.409,0.432,0.605,0.714
1992,West Java,JB,9,167069,36824,14428,277596,5.651,1,1,1
1992,Jakarta,JK,10,180867,8095,3034,513420,9.038,1,1,1
1992,Central Java,JT,11,90353,28648,13918,167220,5.209,0.814,0.879,0.927
1992,Yogyakarta,YO,12,10288,2917,1594,18584,5.765,0.245,0.288,0.851
1992,East Java,JI,13,155161,32458,15843,273023,5.071,1,1,1
1992,Bali,BA,14,11954,2822,1568,18927,5.47,0.296,0.391,0.755
1992,West Kalimantan,KB,15,12804,3307,1549,20926,4.435,0.361,1,0.361
1992,Central Kalimantan,KT,16,7956,1469,635,12458,6.07,0.333,0.538,0.619
1992,East Kalimantan,KI,17,56350,1976,835,46797,6.285,1,1,1
1992,South Kalimantan,KS,18,11169,2644,1259,10937,5.654,0.364,0.41,0.89
1992,North Sulawesi,SA,19,7466,2526,1071,8280,7.19,0.322,0.323,0.998
1992,Central Sulawesi,ST,20,4869,1769,745,8321,6.15,0.213,0.308,0.692
