Variable,Mean,Median,SD,IQR,Min,Max
GDP growth (1990),-0.06,0.8,2.64,4.31,-4.61,4.09
GDP growth (2015),1.06,1.28,2.72,3.17,-5.45,6.29
Log initial GDP (1990),7.08,7.0,1.24,1.45,4.44,10.02
Log initial GDP (2015),6.97,6.86,1.06,1.48,5.24,9.51
Investment (1990),14.11,14.53,4.28,4.49,3.54,22.36
Investment (2015),15.58,15.32,5.13,5.65,3.33,26.64
Schooling (1990),5.91,5.5,3.36,4.93,-1.23,13.15
Schooling (2015),5.99,6.5,3.17,3.81,-1.69,12.15
Pop. growth (1990),1.55,1.54,0.57,0.54,-0.01,2.97
Pop. growth (2015),1.57,1.52,0.81,1.21,0.07,3.29
Trade openness (1990),49.74,48.56,17.75,21.82,7.84,85.43
Trade openness (2015),54.82,51.48,19.7,25.61,22.44,106.18
