"","ols","fe_c","fe_t","fe_ct"
"Dependent Var.:","gdp_growth","gdp_growth","gdp_growth","gdp_growth"
" "," "," "," "," "
"Constant","2.680* (1.068)","  ","  ","  "
"ln_initial_gdp","-0.7590*** (0.1167)","-0.9015*** (0.0878)","-0.7418*** (0.1085)","-0.8782*** (0.0841)"
"investment","0.1717*** (0.0296)","0.1995*** (0.0272)","0.1643*** (0.0282)","0.1903*** (0.0241)"
"schooling","0.1873*** (0.0444)","0.1681*** (0.0374)","0.2016*** (0.0476)","0.1855*** (0.0360)"
"pop_growth","-0.4421* (0.1691)","-0.4053* (0.1677)","-0.4541** (0.1592)","-0.4306** (0.1519)"
"trade_openness","0.0132 (0.0086)","0.0145. (0.0083)","0.0154. (0.0084)","0.0173* (0.0078)"
"Fixed-Effects:","-------------------","-------------------","-------------------","-------------------"
"country","No","Yes","No","Yes"
"year_factor","No","No","Yes","Yes"
"_______________","___________________","___________________","___________________","___________________"
"S.E.: Clustered","by: country","by: country","by: country","by: country"
"Observations","240","240","240","240"
"R2","0.33226","0.64130","0.38101","0.68732"
"Within R2","--","0.48275","0.34005","0.50480"
