
="",="(1)",="(2)",="(3)",="(4)"
="",="OLS",="Country FE",="Time FE",="Two-way FE"

="ln_initial_gdp",="-0.759***",="-0.901***",="-0.742***",="-0.878***"
="",="(0.117)",="(0.0878)",="(0.109)",="(0.0841)"

="investment",="0.172***",="0.200***",="0.164***",="0.190***"
="",="(0.0296)",="(0.0272)",="(0.0282)",="(0.0241)"

="schooling",="0.187***",="0.168***",="0.202***",="0.186***"
="",="(0.0444)",="(0.0374)",="(0.0476)",="(0.0360)"

="pop_growth",="-0.442**",="-0.405**",="-0.454***",="-0.431***"
="",="(0.169)",="(0.168)",="(0.159)",="(0.152)"

="trade_openness",="0.0132",="0.0145*",="0.0154*",="0.0172**"
="",="(0.00860)",="(0.00831)",="(0.00837)",="(0.00777)"

="N",="240",="240",="240",="240"
="Country FE",="No",="Yes",="No",="Yes"
="Year FE",="No",="No",="Yes",="Yes"
="Adj. R-squared",="0.318",="0.560",="0.354",="0.607"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
